codice,data,nomeUtente,codiceQuiz
1,2025-05-22,marco_ferrari,459
2,2025-05-18,marco_ferrari,95
3,2026-03-01,marco_ferrari,337
4,2026-05-26,marco_ferrari,368
5,2025-08-14,sofia_russo,251
6,2025-11-12,sofia_russo,494
7,2025-11-09,sofia_russo,184
8,2026-05-21,sofia_russo,145
9,2024-07-17,luca_esposito,249
10,2025-11-11,luca_esposito,464
11,2025-11-16,luca_esposito,478
12,2025-11-11,luca_esposito,474
13,2025-11-12,luca_esposito,469
14,2025-09-24,giulia_bianchi,237
15,2024-06-22,giulia_bianchi,511
16,2026-06-24,giulia_bianchi,436
17,2024-04-30,giulia_bianchi,510
18,2026-06-19,andrea_romano,386
19,2026-06-24,andrea_romano,211
20,2026-03-15,andrea_romano,205
21,2024-08-25,chiara_colombo,501
22,2025-02-05,chiara_colombo,118
23,2026-06-17,chiara_colombo,315
24,2026-03-08,matteo_ricci,344
25,2024-12-02,matteo_ricci,472
26,2026-06-18,matteo_ricci,188
27,2025-05-27,valentina_marino,99
28,2026-04-02,valentina_marino,143
29,2026-06-20,valentina_marino,148
30,2026-04-09,davide_greco,35
31,2025-07-11,davide_greco,79
32,2026-05-10,francesca_bruno,315
33,2026-04-03,francesca_bruno,200
34,2026-01-25,francesca_bruno,442
35,2026-06-04,francesca_bruno,384
36,2026-04-25,simone_gallo,13
37,2026-01-27,simone_gallo,377
38,2026-06-21,simone_gallo,368
39,2026-02-12,elena_conti,347
40,2025-10-21,elena_conti,120
41,2025-02-22,fabio_mancini,356
42,2026-04-08,laura_costa,107
43,2025-03-21,laura_costa,61
44,2025-12-05,laura_costa,362
45,2026-06-06,laura_costa,173
46,2025-05-09,nicola_giordano,373
47,2024-12-20,nicola_giordano,317
48,2026-04-30,nicola_giordano,448
49,2025-09-17,nicola_giordano,207
50,2025-11-06,sara_rizzo,272
51,2026-02-23,sara_rizzo,51
52,2024-09-05,sara_rizzo,353
53,2026-06-13,roberto_lombardi,49
54,2026-01-04,roberto_lombardi,405
55,2026-03-27,roberto_lombardi,473
56,2024-08-13,roberto_lombardi,179
57,2024-11-05,roberto_lombardi,409
58,2026-03-07,anna_moreno,512
59,2024-12-12,anna_moreno,151
60,2026-02-20,anna_moreno,182
61,2025-12-29,emanuele_fontana,35
62,2026-05-13,emanuele_fontana,115
63,2026-06-23,claudia_barbieri,102
64,2026-05-01,claudia_barbieri,422
65,2026-04-24,claudia_barbieri,83
66,2025-06-02,claudia_barbieri,95
67,2024-11-19,tomaso_messina,204
68,2025-07-31,tomaso_messina,266
69,2025-08-24,tomaso_messina,499
70,2026-06-03,paola_villa,316
71,2026-04-15,paola_villa,519
72,2026-06-09,paola_villa,6
73,2026-05-27,giovanni_caruso,112
74,2025-12-17,martina_ferri,33
75,2026-06-26,martina_ferri,277
76,2026-02-28,martina_ferri,321
77,2026-06-15,martina_ferri,252
78,2026-06-13,alessio_pellegrini,203
79,2026-03-19,alessio_pellegrini,416
80,2026-05-22,ilaria_marini,3
81,2026-02-19,ilaria_marini,231
82,2026-06-04,stefano_fiore,278
83,2026-04-18,stefano_fiore,315
84,2026-02-27,stefano_fiore,129
85,2026-01-18,stefano_fiore,58
86,2026-06-05,monica_leone,94
87,2025-11-15,monica_leone,234
88,2026-05-30,carmine_serra,26
89,2026-05-03,carmine_serra,88
90,2024-09-01,beatrice_coppola,318
91,2025-10-27,beatrice_coppola,514
92,2025-11-12,beatrice_coppola,439
93,2026-05-29,beatrice_coppola,461
94,2026-05-31,debora_casini,277
95,2026-06-15,debora_casini,383
96,2025-11-24,debora_casini,474
97,2025-09-13,debora_casini,5
98,2026-06-10,marco_riva,520
99,2025-10-26,marco_riva,69
100,2026-01-03,marco_riva,450
101,2026-05-15,marco_riva,470
102,2026-01-17,carmine_rizzi,33
103,2024-04-26,carmine_rizzi,249
104,2024-12-03,carmine_rizzi,263
105,2026-01-26,carmine_rizzi,338
106,2025-11-17,carmine_rizzi,201
107,2024-05-25,simone_fabbri,189
108,2026-02-14,simone_fabbri,303
109,2026-05-25,giada_lodi,78
110,2026-02-26,giada_lodi,69
111,2025-05-30,stefano_salvi,251
112,2026-05-07,stefano_salvi,59
113,2026-03-05,stefano_salvi,72
114,2025-10-29,davide_grassi,469
115,2026-01-30,davide_grassi,303
116,2026-03-26,stefano_silvestri,283
117,2026-01-05,emanuele_rega,109
118,2026-04-02,emanuele_rega,384
119,2026-06-16,emanuele_rega,181
120,2026-06-24,emanuele_rega,447
121,2025-01-30,serena_grassi,367
122,2025-10-25,serena_grassi,144
123,2026-01-25,serena_grassi,381
124,2025-08-28,pietro_amato,345
125,2026-06-27,pietro_amato,160
126,2025-12-03,pietro_amato,192
127,2026-04-19,jessica_lodi,223
128,2025-12-20,jessica_lodi,405
129,2024-05-27,jessica_lodi,388
130,2026-06-03,paola_rizzi,117
131,2026-02-05,paola_rizzi,174
