codice,titolo,dataInizio,dataFine,creatore
1,Storia dell'Antica Grecia,2025-07-22,2027-01-09,marco_ferrari
2,Chimica Organica Base,2025-05-05,2025-08-23,luca_esposito
3,Fisica Newtoniana,2025-11-19,2027-04-21,andrea_romano
4,Letteratura del '900,2025-03-29,2025-08-02,andrea_romano
5,Matematica Finanziaria,2025-07-17,2026-10-16,chiara_colombo
6,Biologia Cellulare,2026-04-02,2027-06-01,chiara_colombo
7,Geografia Europea,2025-06-19,2025-07-19,matteo_ricci
8,Astronomia e Cosmologia,2026-10-27,2027-04-24,matteo_ricci
9,Lingue Neolatine,2026-03-18,2026-09-12,matteo_ricci
10,Arte Medievale,2026-02-22,2027-02-27,matteo_ricci
11,Cinema d'Autore,2025-12-12,2026-04-14,valentina_marino
12,Cucina Regionale Italiana,2025-08-09,2027-04-19,valentina_marino
13,Informatica di Base,2025-07-06,2027-01-11,valentina_marino
14,Diritto Costituzionale,2026-05-19,2026-06-22,davide_greco
15,Economia Aziendale,2025-09-24,2025-11-15,francesca_bruno
16,Storia della Musica,2027-06-20,2027-11-06,francesca_bruno
17,Filosofia Greca,2026-08-30,2026-12-31,elena_conti
18,Anatomia Umana,2025-11-02,2027-06-05,elena_conti
19,Ecologia e Ambiente,2025-11-13,2027-05-08,laura_costa
20,Sport e Olimpiadi,2027-03-14,2027-07-08,laura_costa
21,Psicologia Cognitiva,2027-02-27,2027-06-29,nicola_giordano
22,Sociologia Urbana,2026-02-21,2027-05-21,nicola_giordano
23,Storia del Rinascimento,2025-10-04,2027-03-04,nicola_giordano
24,Letteratura Inglese,2026-02-01,2026-10-27,roberto_lombardi
25,Matematica Discreta,2026-01-15,2027-04-01,anna_moreno
26,Reti di Computer,2026-04-10,2027-06-25,emanuele_fontana
27,Algoritmi e Strutture Dati,2025-11-27,2027-01-23,emanuele_fontana
28,Marketing Digitale,2025-11-01,2027-01-27,emanuele_fontana
29,Gestione Aziendale,2025-11-24,2027-01-14,claudia_barbieri
30,Storia dell'Arte Moderna,2027-04-24,2027-05-06,claudia_barbieri
31,Fisica Quantistica,2026-06-24,2026-12-26,tomaso_messina
32,Chimica Inorganica,2025-12-10,2027-01-29,tomaso_messina
33,Biologia Marina,2025-09-21,2027-05-03,tomaso_messina
34,Geologia e Vulcani,2027-03-05,2027-05-07,tomaso_messina
35,Meteorologia,2025-07-20,2027-06-11,giovanni_caruso
36,Linguistica Italiana,2025-09-05,2026-01-09,giovanni_caruso
37,Numeri e Crittografia,2027-05-13,2027-10-03,martina_ferri
38,Mitologia Greca e Romana,2025-12-08,2027-04-28,martina_ferri
39,Storia Medievale,2026-06-14,2026-08-10,martina_ferri
40,Cultura Asiatica,2025-10-07,2026-02-09,martina_ferri
41,Letteratura Russa,2025-11-07,2026-12-13,alessio_pellegrini
42,Economia Globale,2025-12-15,2026-11-18,alessio_pellegrini
43,Zoologia,2025-02-10,2025-04-22,ilaria_marini
44,Botanica,2027-02-24,2027-03-07,ilaria_marini
45,Farmacologia Base,2026-01-29,2026-05-05,ilaria_marini
46,Diritto Internazionale,2026-07-19,2026-08-02,stefano_fiore
47,Storia della Tecnologia,2026-10-09,2026-10-21,stefano_fiore
48,Robotica,2025-09-17,2025-10-26,monica_leone
49,Intelligenza Artificiale,2026-04-30,2027-04-13,monica_leone
50,Machine Learning Base,2027-02-22,2027-05-05,monica_leone
51,Statistica Applicata,2026-01-13,2026-03-02,carmine_serra
52,Calcolo Integrale,2026-08-23,2027-01-25,carmine_serra
53,Topologia,2026-01-19,2027-04-19,beatrice_coppola
54,Teoria dei Giochi,2025-07-09,2027-05-16,simone_fabbri
