codicePartecipazione,numeroRisposta,numeroDomanda,codiceQuiz
1,1,1,459
1,2,2,459
1,4,3,459
1,1,4,459
1,3,5,459
2,4,1,95
2,2,2,95
2,4,3,95
2,1,4,95
3,2,1,337
3,2,2,337
3,2,3,337
4,1,1,368
4,1,2,368
4,4,3,368
4,1,4,368
5,3,1,251
5,4,2,251
6,2,1,494
6,4,2,494
7,3,1,184
7,2,2,184
7,1,3,184
8,3,1,145
9,4,1,249
9,2,2,249
9,2,3,249
9,3,4,249
10,3,1,464
10,1,2,464
10,1,3,464
11,3,1,478
11,2,2,478
11,1,3,478
11,3,4,478
12,3,1,474
12,4,2,474
12,1,3,474
13,1,1,469
13,2,2,469
13,4,3,469
14,2,1,237
14,1,2,237
14,4,3,237
15,4,1,511
15,3,2,511
15,2,3,511
15,3,4,511
16,4,1,436
16,4,2,436
17,3,1,510
17,2,2,510
17,1,3,510
18,1,1,386
18,3,2,386
18,4,3,386
18,2,4,386
19,3,1,211
19,4,2,211
19,1,3,211
20,2,1,205
20,2,2,205
20,2,3,205
21,4,1,501
21,3,2,501
22,2,1,118
22,1,2,118
22,4,3,118
22,3,4,118
22,4,5,118
23,3,1,315
23,4,2,315
23,4,3,315
23,1,4,315
24,2,1,344
24,4,2,344
24,1,3,344
25,3,1,472
25,1,2,472
25,3,3,472
26,2,1,188
26,2,2,188
26,4,3,188
27,1,1,99
27,3,2,99
27,1,3,99
27,2,4,99
28,4,1,143
28,2,2,143
28,1,3,143
28,1,4,143
29,4,1,148
29,2,2,148
30,3,1,35
30,4,2,35
31,4,1,79
31,2,2,79
32,4,1,315
32,1,2,315
32,4,3,315
32,4,4,315
33,4,1,200
33,3,2,200
33,1,3,200
33,1,4,200
34,1,1,442
34,1,2,442
34,4,3,442
35,2,1,384
36,4,1,13
36,3,2,13
36,1,3,13
36,2,4,13
37,4,1,377
37,4,2,377
37,3,3,377
38,2,1,368
38,1,2,368
38,3,3,368
38,1,4,368
39,1,1,347
39,4,2,347
39,4,3,347
39,1,4,347
39,1,5,347
40,1,1,120
40,2,2,120
40,2,3,120
40,1,4,120
41,3,1,356
41,1,2,356
41,1,3,356
42,1,1,107
42,1,2,107
42,3,3,107
42,3,4,107
43,2,1,61
43,4,2,61
43,1,3,61
44,3,1,362
44,1,2,362
44,3,3,362
45,4,1,173
45,2,2,173
46,3,1,373
46,2,2,373
46,1,3,373
47,2,1,317
47,1,2,317
47,2,3,317
48,3,1,448
48,2,2,448
49,2,1,207
49,3,2,207
50,3,1,272
50,4,2,272
51,2,1,51
51,4,2,51
51,4,3,51
51,1,4,51
52,4,1,353
52,2,2,353
52,2,3,353
53,2,1,49
53,3,2,49
54,4,1,405
54,2,2,405
54,3,3,405
54,4,4,405
55,1,1,473
55,2,2,473
55,1,3,473
55,3,4,473
55,1,5,473
56,1,1,179
56,4,2,179
56,1,3,179
57,1,1,409
57,3,2,409
57,3,3,409
58,1,1,512
58,4,2,512
58,2,3,512
58,4,4,512
58,1,5,512
59,2,1,151
59,3,2,151
59,4,3,151
60,3,1,182
60,3,2,182
60,3,3,182
60,1,4,182
61,4,1,35
61,2,2,35
62,4,1,115
62,4,2,115
62,2,3,115
62,3,4,115
63,3,1,102
63,1,2,102
63,3,3,102
63,2,4,102
63,4,5,102
64,4,1,422
64,2,2,422
64,4,3,422
65,4,1,83
65,3,2,83
65,3,3,83
66,4,1,95
66,2,2,95
66,3,3,95
66,1,4,95
67,1,1,204
67,1,2,204
67,1,3,204
67,2,4,204
68,2,1,266
69,1,1,499
69,1,2,499
70,2,1,316
70,4,2,316
70,4,3,316
70,1,4,316
71,1,1,519
71,2,2,519
71,1,3,519
71,4,4,519
72,3,1,6
72,2,2,6
72,1,3,6
72,4,4,6
73,2,1,112
73,2,2,112
73,1,3,112
73,3,4,112
74,3,1,33
74,1,2,33
74,3,3,33
74,2,4,33
75,1,1,277
75,3,2,277
75,3,3,277
75,4,4,277
75,3,5,277
76,2,1,321
76,1,2,321
77,4,1,252
77,2,2,252
78,1,1,203
78,4,2,203
78,4,3,203
79,3,1,416
79,1,2,416
79,4,3,416
80,2,1,3
80,4,2,3
81,1,1,231
81,1,2,231
82,2,1,278
82,4,2,278
82,1,3,278
82,4,4,278
83,2,1,315
83,3,2,315
83,2,3,315
83,4,4,315
84,3,1,129
84,3,2,129
84,3,3,129
84,4,4,129
85,3,1,58
85,1,2,58
85,4,3,58
86,4,1,94
86,1,2,94
86,3,3,94
87,2,1,234
87,1,2,234
87,2,3,234
87,3,4,234
88,4,1,26
88,3,2,26
88,1,3,26
88,2,4,26
89,2,1,88
89,4,2,88
89,3,3,88
90,3,1,318
90,4,2,318
90,4,3,318
91,1,1,514
91,1,2,514
91,1,3,514
92,2,1,439
92,3,2,439
92,1,3,439
93,2,1,461
93,1,2,461
93,3,3,461
94,4,1,277
94,3,2,277
94,3,3,277
94,4,4,277
94,1,5,277
95,2,1,383
96,2,1,474
96,2,2,474
96,3,3,474
97,3,1,5
97,2,2,5
97,4,3,5
98,2,1,520
98,2,2,520
98,2,3,520
98,2,4,520
99,2,1,69
99,4,2,69
99,1,3,69
100,2,1,450
100,2,2,450
101,1,1,470
101,2,2,470
101,1,3,470
102,2,1,33
102,3,2,33
102,4,3,33
102,4,4,33
103,4,1,249
103,1,2,249
103,3,3,249
103,1,4,249
104,3,1,263
104,3,2,263
104,3,3,263
104,4,4,263
104,2,5,263
105,1,1,338
105,2,2,338
106,1,1,201
106,1,2,201
107,1,1,189
107,4,2,189
107,2,3,189
108,4,1,303
108,3,2,303
108,3,3,303
108,3,4,303
109,1,1,78
109,2,2,78
109,3,3,78
110,3,1,69
110,3,2,69
110,2,3,69
111,1,1,251
111,1,2,251
112,2,1,59
112,2,2,59
112,4,3,59
112,1,4,59
113,3,1,72
113,3,2,72
114,2,1,469
114,1,2,469
114,2,3,469
115,4,1,303
115,3,2,303
115,3,3,303
115,3,4,303
116,4,1,283
116,4,2,283
116,1,3,283
117,3,1,109
117,1,2,109
117,1,3,109
117,2,4,109
118,4,1,384
119,1,1,181
119,2,2,181
119,4,3,181
120,4,1,447
120,4,2,447
120,4,3,447
120,3,4,447
121,4,1,367
121,3,2,367
121,3,3,367
122,3,1,144
122,3,2,144
122,1,3,144
123,2,1,381
123,1,2,381
124,2,1,345
125,3,1,160
125,2,2,160
126,1,1,192
126,2,2,192
126,2,3,192
127,3,1,223
127,1,2,223
127,3,3,223
128,4,1,405
128,3,2,405
128,3,3,405
128,1,4,405
129,1,1,388
129,3,2,388
129,2,3,388
129,3,4,388
130,1,1,117
131,3,1,174
131,2,2,174
132,4,1,10
132,2,2,10
132,3,3,10
133,4,1,522
133,2,2,522
133,4,3,522
134,2,1,487
134,4,2,487
134,1,3,487
134,4,4,487
135,4,1,260
135,2,2,260
135,2,3,260
135,2,4,260
136,1,1,367
136,3,2,367
136,2,3,367
137,4,1,316
137,2,2,316
137,1,3,316
137,2,4,316
138,4,1,471
138,2,2,471
138,4,3,471
139,4,1,118
139,1,2,118
139,2,3,118
139,1,4,118
139,1,5,118
140,4,1,417
140,1,2,417
141,2,1,535
141,1,2,535
141,3,3,535
142,1,1,416
142,1,2,416
142,1,3,416
143,3,1,28
143,1,2,28
143,2,3,28
143,2,4,28
144,2,1,310
144,3,2,310
144,3,3,310
145,2,1,490
145,2,2,490
145,1,3,490
146,3,1,364
146,1,2,364
146,1,3,364
146,1,4,364
147,2,1,330
147,1,2,330
147,2,3,330
148,4,1,538
148,2,2,538
148,3,3,538
148,3,4,538
149,4,1,269
149,1,2,269
149,4,3,269
150,1,1,95
150,2,2,95
150,1,3,95
150,3,4,95
151,3,1,234
151,1,2,234
151,1,3,234
151,2,4,234
152,4,1,53
152,3,2,53
152,2,3,53
153,2,1,397
153,3,2,397
153,3,3,397
153,3,4,397
154,1,1,217
154,3,2,217
154,4,3,217
155,1,1,525
155,1,2,525
155,2,3,525
155,2,4,525
155,3,5,525
156,4,1,462
156,4,2,462
156,4,3,462
157,1,1,525
157,4,2,525
157,3,3,525
157,2,4,525
157,1,5,525
158,4,1,494
158,4,2,494
159,4,1,252
159,3,2,252
160,2,1,229
160,4,2,229
160,4,3,229
161,2,1,356
161,4,2,356
161,1,3,356
162,2,1,322
162,1,2,322
163,3,1,350
163,1,2,350
164,1,1,347
164,3,2,347
164,4,3,347
164,2,4,347
164,1,5,347
165,4,1,544
165,2,2,544
165,4,3,544
166,2,1,501
166,2,2,501
167,2,1,527
167,1,2,527
167,2,3,527
167,4,4,527
168,4,1,92
168,3,2,92
169,1,1,35
169,4,2,35
170,2,1,453
170,1,2,453
170,2,3,453
170,3,4,453
171,1,1,72
171,2,2,72
172,4,1,522
172,2,2,522
172,3,3,522
173,4,1,268
173,3,2,268
173,4,3,268
